municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
GENERAL JUAN MADARIAGA,Interior,315,363450633.8463162,140719499.63196883,176968388.06404078,94493547.52400091,9907202.268492898,388788031.52654266,141387722.98709556,199105123.22236282,89197342.2557848,11472254.294329252,22624,I,06315,17184.76094088325,22.94240949382087,2.9507735228588277,51.21174189457266,6.971345024793731,0.47486194654925473,12.508864097417932,Resto
GENERAL LA MADRID,Interior,322,306426593.4526748,187129308.4420406,87884464.98647743,179909970.5186157,1681471.0900577845,338028317.64821774,208049815.79219228,94868389.72686432,198383873.05608216,2221721.974035756,11618,I,06322,29095.224448977253,58.68853663986164,0.6572591283159529,28.06521962032565,10.312983556508312,11.179706441672325,7.946711334547565,Resto
GENERAL LAS HERAS,Interior,329,327676640.70442766,174775088.8244322,97903414.14926764,52752818.73902135,98823746.17924562,341694841.5216895,177486444.90658906,106818469.08439277,52897179.25854581,101381619.13068315,18022,I,06329,18959.873572394266,15.48082465131043,29.67022231860291,31.261364265463268,4.278059243748954,1.5513401254114199,9.105969401161905,Resto
GENERAL LAVALLE,Interior,336,117491438.13686262,47888500.22057886,57286955.78057493,28622575.786853917,1381189.8887509468,115053299.92283028,45902122.95721118,56572633.17988585,30964682.966284607,1800334.3178818056,4870,I,06336,23624.907581689997,26.913337546209934,1.5647828607170278,49.17080450350474,-2.075162456682346,-4.14792122162573,-1.2469201600188684,Resto
GENERAL PAZ,Interior,343,193520537.35259894,84531762.27193886,79936771.11769646,54707449.810160205,18044038.040869422,209071642.95176986,92871328.19609538,84714370.284160465,56652363.982804775,20570537.43816747,14207,I,06343,14716.100721599905,27.097105653813486,9.838989710772413,40.51930194268525,8.035894180490232,9.865600455989686,5.976722726803175,Resto
GENERAL PINTO,Interior,351,414738301.41531974,276229232.2806946,98050267.12945023,252718808.16182235,9040830.327034568,394439001.0316001,251753551.83460957,101965184.91117093,228881476.75591978,8912658.564610103,12941,I,06351,30479.792985982545,58.02709066733063,2.2595784243698747,25.850685313697486,-4.894484139624198,-8.860640940859472,3.992766053918092,Resto
GENERAL PUEYRREDON,Interior,357,9282622901.519705,2753338453.533648,5008469341.270279,285731765.0624377,1673345706.2110279,9832138866.187073,2862679310.599214,5358857906.59115,275427673.98144424,1747426192.2277231,667082,I,06357,14739.025886153535,2.8012996737530393,17.772594712195914,54.5034806721493,5.9198350562900055,3.9712101839582226,6.995921137694409,Resto
GENERAL RODRIGUEZ,Interior,364,1700738708.1270528,667473441.9148442,711179841.3906258,79663479.10134256,451382570.4193893,1874933709.8000007,761550969.6190567,769521779.4628001,86170164.98675847,476169900.3581805,142709,C,06364,13138.160240769683,4.5959046197932105,25.39662591105547,41.04261262361564,10.242314168575668,14.0945724273798,8.203542153007843,Resto
GENERAL SAN MARTIN,AMBA,371,6377640418.984346,2146795412.8350155,3060508645.558574,0,1941846136.9508367,6718900268.018527,2247016456.466915,3233474870.8810477,0,2056807572.0598166,450518,C,06371,14913.72213323003,0,30.612265251950085,48.125061273377604,5.350879425850839,4.668402169704176,5.651551599878112,Resto
GENERAL VIAMONTE,Interior,385,455719122.3479539,267183614.8595319,136169481.93685082,235539168.79673862,17591864.191721857,438303841.0490127,241903033.8766691,143123240.86071813,210064932.13837212,18469498.609590776,22649,I,06385,19352.01735392347,47.92678330986424,4.213857347311143,32.65388697442731,-3.8214945225941506,-9.461875495678774,5.106694117476448,Resto
GENERAL VILLEGAS,Interior,392,1107716783.9329238,724048567.8065506,272078947.44853073,670454621.592727,34814735.673686445,1128981491.8685663,716704497.9001255,294220551.3552941,657913727.8005444,38050358.59523174,35251,I,06392,32026.935175415343,58.27497904430991,3.3703261629431114,26.060706351202672,1.9196881589301742,-1.0143062541610175,8.137933535247855,Resto
GUAMINI,Interior,399,473824633.41225225,261384391.1819077,167744579.945999,254867183.45947397,3226167.347127524,532295673.0159539,302877705.99389356,179142752.73824206,286926827.0670975,3372605.2800724753,11801,I,06399,45105.980257262425,53.903655733549,0.6335962231222931,33.654745251493495,12.34022789879495,15.874442473157861,6.79495742629205,Resto
HIPOLITO YRIGOYEN,Interior,406,307779991.69421375,193381636.83050382,82995881.2955194,182385483.7054099,2833542.1945241457,303336850.6583486,190246521.36917874,80726517.72752799,176077215.4661262,3199815.349884271,10661,I,06406,28452.945376451422,58.04676058447108,1.054871949431642,26.612829121263307,-1.4436094469323033,-1.62120639410709,-2.734308657933269,Resto
HURLINGHAM,AMBA,408,2290239390.615209,706998697.2693846,1146318019.361154,5571.607597317235,630163925.5240428,2414916754.559638,759360426.3443053,1194103598.9720578,5341.734741822335,669036052.2558808,185641,C,06408,13008.531275739939,2.211974690943914e-4,27.704311173155947,49.446988046998065,5.443857286505661,7.406198805903809,4.1686145383577555,Resto
ITUZAINGO,AMBA,410,2194659968.9803786,598788639.5811365,1199650803.3231568,16714.82279195171,482478633.6545103,2354717275.4987407,675294919.573472,1259874476.2093017,16025.204225467009,509202772.5409642,180232,C,06410,13064.923407046144,6.80557466164289e-4,21.62479452795931,53.504277958059916,7.29303440080166,12.776842267056551,5.020100242447142,Resto
JOSE C PAZ,AMBA,412,3228062995.4743533,1024181132.2580862,1526768927.0020168,200577.87350342047,908291063.1701952,3469387334.4336967,1112016949.752992,1635329047.594442,192302.45070560407,986518525.1304368,326992,C,06412,10610.006772134171,0.005542836015944392,28.434949172127094,47.135960616555785,7.475824954397508,8.576199534280398,7.110448652213218,Resto
